Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"Q2,Q1,Q3",SOT-363_SC-70-6,3,MBT3946DW1T1,Farnell: 1459079
2,"R6,R7",R_0402_1005Metric,2,8K2,
3,"C1,C4,C6,C7,C8,C9,C12",C_0402_1005Metric,7,100nF,
4,"C2,C10,C11",C_0402_1005Metric,3,1nF,
5,C3,C_0402_1005Metric,1,100pF,
6,D1,Osram_SMD-DIL2_4.5x4.0mm,1,BPW34-SMD,Farnell: 1212745
7,"R1,R20,R21,R24",R_0402_1005Metric,4,100K,
8,R2,R_0402_1005Metric,1,12K,
9,"R3,R4,R27",R_0402_1005Metric,3,10K,
10,"R5,R8",R_0402_1005Metric,2,56K,
11,R9,R_0402_1005Metric,1,1K5,
12,R10,R_0402_1005Metric,1,560,
13,R11,R_0402_1005Metric,1,5K6,
14,"R12,R14,R15",R_0402_1005Metric,3,33,
15,"R17,R22",R_0402_1005Metric,2,6K8,
16,"R18,R26",R_0402_1005Metric,2,2K7,
17,"R19,R25",R_0402_1005Metric,2,1K,
18,"R23,R16",R_0402_1005Metric,2,15K,
19,U1,SOT-363_SC-70-6,1,LMV331,Farnell: 2464733
20,J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Male,
21,R13,R_0603_1608Metric,1,1K2,
22,C5,C_0603_1608Metric,1,100pF,
